District,Latitude,Longitude,Address
中央区,35.68674346,139.78441696,東京都中央区日本橋人形町2丁目24-5
中央区,35.67873860,139.77670126,東京都中央区日本橋兜町16-6
中央区,35.68138016,139.78371445,東京都中央区日本橋蛎殻町1丁目21-3
中央区,35.68883451,139.77023197,東京都中央区日本橋本石町4丁目5-3
中央区,35.68803496,139.78361142,東京都中央区日本橋富沢町3-7
中央区,35.67341126,139.77095753,東京都中央区銀座1丁目19-14
中央区,35.68558809,139.78638906,東京都中央区日本橋人形町2丁目34-9
中央区,35.66843158,139.78244842,東京都中央区佃1丁目1-18
中央区,35.67046720,139.77244085,東京都中央区築地1丁目2-7
中央区,35.66933929,139.76271950,東京都中央区銀座7丁目8-4
中央区,35.68567967,139.78338654,東京都中央区日本橋人形町2丁目4-5
中央区,35.67635841,139.78075658,東京都中央区新川2丁目6-14
中央区,35.69360381,139.78483054,東京都中央区日本橋横山町9-13
中央区,35.67727767,139.77742348,東京都中央区八丁堀1丁目9-5
中央区,35.65899912,139.77524107,東京都中央区勝どき3丁目4-18
中央区,35.68040217,139.77187106,東京都中央区日本橋3丁目2-6
中央区,35.66397352,139.77365490,東京都中央区築地6丁目15-4
中央区,35.66863660,139.76288063,東京都中央区銀座7丁目9-15
中央区,35.69203171,139.78255023,東京都中央区日本橋横山町4-9
中央区,35.68427703,139.78276442,東京都中央区日本橋人形町1丁目10-5
中央区,35.67026977,139.76437765,東京都中央区銀座5丁目8-15
中央区,35.67289452,139.76584131,東京都中央区銀座3丁目4-6
中央区,35.67147270,139.77491560,東京都中央区新富2丁目11-3
中央区,35.67281948,139.76416090,東京都中央区銀座4丁目2-17
中央区,35.66969508,139.77314360,東京都中央区築地2丁目6-9
中央区,35.66614582,139.78583156,東京都中央区佃2丁目13-5
中央区,35.67146732,139.78120395,東京都中央区湊2丁目16-25
中央区,35.68697398,139.78413086,東京都中央区日本橋人形町2丁目25-6
中央区,35.67478901,139.77528765,東京都中央区八丁堀3丁目17-12
中央区,35.68576834,139.77595105,東京都中央区日本橋本町1丁目3-2
中央区,35.67158623,139.76194726,東京都中央区銀座6丁目4-4
中央区,35.69352882,139.78469166,東京都中央区日本橋横山町9-14
中央区,35.68510216,139.79110535,東京都中央区日本橋浜町3丁目36-8
中央区,35.68042742,139.78116749,東京都中央区日本橋茅場町1丁目14-10
中央区,35.68729303,139.77051256,東京都中央区日本橋本石町3丁目2-2
中央区,35.67865547,139.78376734,東京都中央区新川1丁目18-9
中央区,35.68398825,139.78576417,東京都中央区日本橋蛎殻町2丁目5-8
中央区,35.66458478,139.78199583,東京都中央区月島1丁目19-1
中央区,35.67642774,139.77640971,東京都中央区八丁堀2丁目16-8
中央区,35.68900439,139.78714720,東京都中央区日本橋浜町2丁目37-8
中央区,35.66654535,139.77011064,東京都中央区築地4丁目7-5
中央区,35.65742431,139.77582720,東京都中央区勝どき4丁目10-3
中央区,35.67915543,139.78503943,東京都中央区日本橋箱崎町7-11
中央区,35.68560453,139.77784256,東京都中央区日本橋本町1丁目8-10
中央区,35.67939985,139.78464223,東京都中央区日本橋箱崎町6-12
中央区,35.69046808,139.78557782,東京都中央区東日本橋1丁目3-3
中央区,35.68638795,139.78471417,東京都中央区日本橋人形町2丁目22-9
中央区,35.68463534,139.78347268,東京都中央区日本橋人形町1丁目16-9
中央区,35.67573880,139.77162960,東京都中央区京橋2丁目12-6
中央区,35.68397706,139.78270888,東京都中央区日本橋人形町1丁目11-3
中央区,35.67000351,139.77828759,東京都中央区湊3丁目6-1
中央区,35.68910393,139.77018196,東京都中央区日本橋本石町4丁目2-13
中央区,35.66826757,139.77735996,東京都中央区明石町5-3
中央区,35.69089570,139.78168924,東京都中央区日本橋大伝馬町12-11
中央区,35.68026365,139.78493384,東京都中央区日本橋箱崎町16-8
中央区,35.67908046,139.78518942,東京都中央区日本橋箱崎町8-6
中央区,35.68630448,139.77889522,東京都中央区日本橋小舟町10-11
中央区,35.66982809,139.76180012,東京都中央区銀座7丁目6-19
中央区,35.68510748,139.78253940,東京都中央区日本橋人形町1丁目7-6
中央区,35.68556558,139.77547055,東京都中央区日本橋室町1丁目11-14
中央区,35.66712011,139.76324177,東京都中央区銀座8丁目13-1
中央区,35.67895257,139.78058427,東京都中央区日本橋茅場町2丁目14-5
中央区,35.68596562,139.77862026,東京都中央区日本橋小舟町8-10
中央区,35.69174844,139.78397790,東京都中央区東日本橋3丁目9-14
中央区,35.68803765,139.78050335,東京都中央区日本橋堀留町1丁目9-10
中央区,35.68939578,139.77813682,東京都中央区日本橋大伝馬町2-14
中央区,35.66961423,139.76154459,東京都中央区銀座7丁目6-15
中央区,35.68915957,139.77399275,東京都中央区日本橋本町4丁目1-11
中央区,35.67227815,139.77412396,東京都中央区新富1丁目9-12
中央区,35.65809102,139.77989627,東京都中央区勝どき2丁目3-7
中央区,35.68266613,139.78410326,東京都中央区日本橋蛎殻町1丁目30-11
中央区,35.67198088,139.77108812,東京都中央区銀座1丁目22-8
中央区,35.69481487,139.78791912,東京都中央区東日本橋2丁目28-2
中央区,35.69138450,139.78071154,東京都中央区日本橋大伝馬町14-8
中央区,35.67805272,139.78255358,東京都中央区新川1丁目8-20
中央区,35.66318226,139.78569558,東京都中央区月島2丁目2-10
中央区,35.67090303,139.76380545,東京都中央区銀座5丁目6-8
中央区,35.66460711,139.78605660,東京都中央区佃3丁目4-8
中央区,35.67012556,139.77241031,東京都中央区築地1丁目3-6
中央区,35.67513047,139.76959090,東京都中央区京橋3丁目5-1
中央区,35.69422314,139.78316954,東京都中央区日本橋馬喰町1丁目10-8
中央区,35.67299725,139.76474418,東京都中央区銀座3丁目2-13
中央区,35.66579861,139.78469000,東京都中央区佃2丁目16-12
中央区,35.67783592,139.77667352,東京都中央区八丁堀1丁目7-7
中央区,35.67199202,139.77240468,東京都中央区新富2丁目1-3
中央区,35.68665439,139.77708980,東京都中央区日本橋本町1丁目6-3
中央区,35.67123077,139.76407764,東京都中央区銀座5丁目6-5
中央区,35.67594741,139.78300084,東京都中央区新川1丁目27-13
中央区,35.67052851,139.78017353,東京都中央区湊2丁目12-10
中央区,35.66065184,139.78009615,東京都中央区月島4丁目15-1
中央区,35.67996336,139.77277655,東京都中央区日本橋3丁目7-20
中央区,35.65671049,139.77541059,東京都中央区勝どき4丁目8-13
中央区,35.67185855,139.76691070,東京都中央区銀座3丁目7-17
中央区,35.68961531,139.78237535,東京都中央区日本橋富沢町10-15
中央区,35.66888947,139.76756355,東京都中央区銀座5丁目14-3
中央区,35.68052752,139.78535324,東京都中央区日本橋箱崎町17-8
中央区,35.67071975,139.76528034,東京都中央区銀座5丁目8-3
中央区,35.67576375,139.76999640,東京都中央区京橋3丁目7-1
中央区,35.67078680,139.77995687,東京都中央区湊2丁目12-3
中央区,35.66011863,139.78258207,東京都中央区月島4丁目7-2
中央区,35.66463451,139.77198001,東京都中央区築地6丁目21-8
中央区,35.66614264,139.77071617,東京都中央区築地4丁目8-2
中央区,35.66625942,139.77547687,東京都中央区築地7丁目10-2
中央区,35.67089504,139.77689323,東京都中央区入船3丁目6-9
中央区,35.68401611,139.78882502,東京都中央区日本橋浜町3丁目10-1
中央区,35.67290302,139.77215189,東京都中央区銀座1丁目27-10
中央区,35.68194674,139.78320892,東京都中央区日本橋蛎殻町1丁目19-2
中央区,35.67022566,139.77647663,東京都中央区入船3丁目3-3
中央区,35.69554248,139.78457215,東京都中央区日本橋馬喰町2丁目6-13
中央区,35.66220169,139.78090991,東京都中央区月島3丁目13-14
中央区,35.67488608,139.77028252,東京都中央区京橋3丁目5-7
中央区,35.68067159,139.77220713,東京都中央区日本橋3丁目1-8
中央区,35.68427711,139.78588915,東京都中央区日本橋蛎殻町2丁目13-3
中央区,35.68329939,139.78389214,東京都中央区日本橋蛎殻町1丁目29-6
中央区,35.68856825,139.78397248,東京都中央区日本橋富沢町16-8
