District,Latitude,Longitude,Address
中野区,35.72886905,139.67223035,東京都中野区江原町1丁目35
中野区,35.72953001,139.66963610,東京都中野区江原町2丁目10
中野区,35.71736706,139.65310745,東京都中野区野方5丁目6
中野区,35.71541164,139.65011889,東京都中野区大和町2丁目27
中野区,35.71636964,139.64175012,東京都中野区大和町4丁目53
中野区,35.69391759,139.67814236,東京都中野区本町2丁目12
中野区,35.69128704,139.66728228,東京都中野区本町5丁目43
中野区,35.71769548,139.67873859,東京都中野区上高田5丁目8
中野区,35.71795656,139.67811085,東京都中野区上高田5丁目9
中野区,35.71574836,139.67403072,東京都中野区上高田5丁目39
中野区,35.70338025,139.67167587,東京都中野区中野2丁目5
中野区,35.70408015,139.67099812,東京都中野区中野2丁目6
中野区,35.71285993,139.67939149,東京都中野区上高田4丁目12
中野区,35.70790168,139.66139045,東京都中野区中野4丁目13
中野区,35.72288913,139.67095848,東京都中野区松が丘2丁目29
中野区,35.69111797,139.68047839,東京都中野区弥生町1丁目10
中野区,35.68631239,139.65947482,東京都中野区弥生町6丁目14
中野区,35.72337204,139.65681800,東京都中野区丸山1丁目2-14
中野区,35.72396912,139.65410154,東京都中野区丸山1丁目11-4
中野区,35.72418020,139.65406820,東京都中野区丸山1丁目11-6
中野区,35.72417188,139.65450984,東京都中野区丸山1丁目11-13
中野区,35.72327759,139.65657914,東京都中野区丸山1丁目2-6
中野区,35.72337758,139.65670968,東京都中野区丸山1丁目2-13
中野区,35.72352473,139.65462374,東京都中野区丸山1丁目9-6
中野区,35.72305539,139.65644861,東京都中野区丸山1丁目2-8
中野区,35.72324421,139.65458209,東京都中野区丸山1丁目9-4
中野区,35.72336647,139.65645414,東京都中野区丸山1丁目2-12
中野区,35.72448295,139.65409041,東京都中野区丸山1丁目11-8
中野区,35.72290263,139.65640139,東京都中野区丸山1丁目2-7
中野区,35.72352196,139.65474595,東京都中野区丸山1丁目9-11
中野区,35.72366083,139.65470706,東京都中野区丸山1丁目9-8
中野区,35.72390246,139.65429042,東京都中野区丸山1丁目11-16
中野区,35.72313594,139.65661525,東京都中野区丸山1丁目2-10
中野区,35.72421076,139.65437929,東京都中野区丸山1丁目11-12
中野区,35.72318866,139.65457098,東京都中野区丸山1丁目9-3
中野区,35.72297763,139.65693468,東京都中野区丸山1丁目2-1
中野区,35.72421075,139.65426264,東京都中野区丸山1丁目11-11
中野区,35.72338586,139.65470707,東京都中野区丸山1丁目9-12
中野区,35.72304703,139.65529314,東京都中野区丸山1丁目6-3
中野区,35.72325254,139.65468764,東京都中野区丸山1丁目9-13
中野区,35.72540791,139.65652628,東京都中野区丸山1丁目19-1
中野区,35.72304145,139.65457099,東京都中野区丸山1丁目9-14
中野区,35.72311091,139.65546535,東京都中野区丸山1丁目6-2
中野区,35.72296649,139.65568201,東京都中野区丸山1丁目6-11
中野区,35.72296648,139.65504873,東京都中野区丸山1丁目7-1
中野区,35.72458573,139.65493478,東京都中野区丸山1丁目13-9
中野区,35.72555233,139.65658738,東京都中野区丸山1丁目19-9
中野区,35.72564954,139.65646516,東京都中野区丸山1丁目19-5
中野区,35.72310257,139.65499873,東京都中野区丸山1丁目7-6
中野区,35.72563011,139.65660960,東京都中野区丸山1丁目19-8
中野区,35.72302202,139.65485429,東京都中野区丸山1丁目7-4
中野区,35.72317756,139.65503205,東京都中野区丸山1丁目7-7
中野区,35.72569677,139.65662903,東京都中野区丸山1丁目19-7
中野区,35.72541346,139.65659850,東京都中野区丸山1丁目19-10
中野区,35.72543013,139.65676514,東京都中野区丸山1丁目18-4
中野区,35.72543012,139.65643184,東京都中野区丸山1丁目19-3
中野区,35.72556344,139.65644573,東京都中野区丸山1丁目19-4
中野区,35.72566066,139.65677347,東京都中野区丸山1丁目18-6
中野区,35.72566621,139.65655960,東京都中野区丸山1丁目19-6
中野区,35.72555512,139.65681791,東京都中野区丸山1丁目18-5
中野区,35.72309424,139.65510427,東京都中野区丸山1丁目7-9
中野区,35.72545513,139.65690958,東京都中野区丸山1丁目18-1
中野区,35.72564678,139.65688180,東京都中野区丸山1丁目18-7
中野区,35.72330256,139.65540979,東京都中野区丸山1丁目5-3
中野区,35.72359697,139.65538756,東京都中野区丸山1丁目5-6
