District,Latitude,Longitude,Address,ConvertedAddress,FormattedAddress
千代田区,35.69572804,139.76482381,東京都千代田区神田駿河台3丁目1-1,"〒101-0062,+Tokyo,+Chiyoda+City,+Kanda+Surugadai,+3-chōme−1−1","3-chōme-1-1+Kanda+Surugadai,+Chiyoda+City,+Tokyo+101-0062"
千代田区,35.69302825,139.7614881,東京都千代田区神田錦町3丁目18-10,"〒101-0054,+Tokyo,+Chiyoda+City,+Kanda+Nishikicho,+3-chōme−18−10","3-chōme-18-10+Kanda+Nishikicho,+Chiyoda+City,+Tokyo+101-0054"
千代田区,35.70158583,139.76948985,東京都千代田区外神田3丁目5-1,"〒101-0021,+Tokyo,+Chiyoda+City,+Sotokanda,+3-chōme−5−1","3-chōme-5-1+Sotokanda,+Chiyoda+City,+Tokyo+101-0021"
千代田区,35.69457285,139.77370366,東京都千代田区神田東松下町29-6,"〒101-0042,+Tokyo,+Chiyoda+City,+Kanda+Higashimatsushitacho,+29−6","29-6+Kanda+Higashimatsushitacho,+Chiyoda+City,+Tokyo+101-0042"
千代田区,35.69619738,139.76301007,東京都千代田区神田小川町3丁目28-7,"〒101-0052,+Tokyo,+Chiyoda+City,+Kanda+Ogawamachi,+3-chōme−28−7","3-chōme-28-7+Kanda+Ogawamachi,+Chiyoda+City,+Tokyo+101-0052"
千代田区,35.69608069,139.76168796,東京都千代田区神田小川町3丁目8-10,"〒101-0052,+Tokyo,+Chiyoda+City,+Kanda+Ogawamachi,+3-chōme−8−10","3-chōme-8-10+Kanda+Ogawamachi,+Chiyoda+City,+Tokyo+101-0052"
千代田区,35.69260047,139.7594744,東京都千代田区神田錦町3丁目5-4,"〒101-0054,+Tokyo,+Chiyoda+City,+Kanda+Nishikicho,+3-chōme−5−4","3-chōme-5-4+Kanda+Nishikicho,+Chiyoda+City,+Tokyo+101-0054"
千代田区,35.69695056,139.78129181,東京都千代田区東神田3丁目1-8,"〒101-0031,+Tokyo,+Chiyoda+City,+Higashikanda,+3-chōme−1−8","3-chōme-1-8+Higashikanda,+Chiyoda+City,+Tokyo+101-0031"
千代田区,35.69391192,139.77778945,東京都千代田区岩本町2丁目14-12,"〒101-0032,+Tokyo,+Chiyoda+City,+Iwamotocho,+2-chōme−14−12","2-chōme-14-12+Iwamotocho,+Chiyoda+City,+Tokyo+101-0032"
千代田区,35.69407271,139.7666515,東京都千代田区神田司町2丁目15-4,"〒101-0048,+Tokyo,+Chiyoda+City,+Kanda+Tsukasamachi,+2-chōme−15−4","2-chōme-15-4+Kanda+Tsukasamachi,+Chiyoda+City,+Tokyo+101-0048"
千代田区,35.69102531,139.74691164,東京都千代田区三番町2-18,"〒102-0075,+Tokyo,+Chiyoda+City,+Sanbancho,+2−18","2-18+Sanbancho,+Chiyoda+City,+Tokyo+102-0075"
千代田区,35.68661712,139.73369627,東京都千代田区六番町5-5,"〒102-0085,+Tokyo,+Chiyoda+City,+Rokubancho,+5−5","5-5+Rokubancho,+Chiyoda+City,+Tokyo+102-0085"
千代田区,35.69170072,139.76504062,東京都千代田区内神田1丁目14-4,"〒101-0047,+Tokyo,+Chiyoda+City,+Uchikanda,+1-chōme−14−4","1-chōme-14-4+Uchikanda,+Chiyoda+City,+Tokyo+101-0047"
千代田区,35.70112142,139.74817502,東京都千代田区飯田橋3丁目3-12,"〒102-0072,+Tokyo,+Chiyoda+City,+Iidabashi,+3-chōme−3−12","3-chōme-3-12+Iidabashi,+Chiyoda+City,+Tokyo+102-0072"
千代田区,35.69729212,139.77868646,東京都千代田区神田佐久間町3丁目18,"〒101-0025,+Tokyo,+Chiyoda+City,+Kanda+Sakumacho,+3-chōme−18","3-chōme-18+Kanda+Sakumacho,+Chiyoda+City,+Tokyo+101-0025"
千代田区,35.69284537,139.77727843,東京都千代田区岩本町2丁目9-15,"〒101-0032,+Tokyo,+Chiyoda+City,+Iwamotocho,+2-chōme−9−15","2-chōme-9-15+Iwamotocho,+Chiyoda+City,+Tokyo+101-0032"
千代田区,35.69996383,139.77084258,東京都千代田区外神田3丁目12-8,"〒101-0021,+Tokyo,+Chiyoda+City,+Sotokanda,+3-chōme−12−8","3-chōme-12-8+Sotokanda,+Chiyoda+City,+Tokyo+101-0021"
千代田区,35.69335338,139.76770422,東京都千代田区神田司町2丁目4-2,"〒101-0048,+Tokyo,+Chiyoda+City,+Kanda+Tsukasamachi,+2-chōme−4−2","2-chōme-4-2+Kanda+Tsukasamachi,+Chiyoda+City,+Tokyo+101-0048"
千代田区,35.69646398,139.76180461,東京都千代田区神田小川町3丁目22-17,"〒101-0052,+Tokyo,+Chiyoda+City,+Kanda+Ogawamachi,+3-chōme−22−17","3-chōme-22-17+Kanda+Ogawamachi,+Chiyoda+City,+Tokyo+101-0052"
千代田区,35.70017449,139.75482449,東京都千代田区神田三崎町2丁目2-12,"〒101-0061,+Tokyo,+Chiyoda+City,+Kanda+Misakicho,+2-chōme−2−12","2-chōme-2-12+Kanda+Misakicho,+Chiyoda+City,+Tokyo+101-0061"
千代田区,35.70063041,139.77033426,東京都千代田区外神田3丁目3-10,"〒101-0021,+Tokyo,+Chiyoda+City,+Sotokanda,+3-chōme−3−10","3-chōme-3-10+Sotokanda,+Chiyoda+City,+Tokyo+101-0021"
千代田区,35.69865003,139.76864837,東京都千代田区外神田2丁目1-16,"〒101-0021,+Tokyo,+Chiyoda+City,+Sotokanda,+2-chōme−1−16","2-chōme-1-16+Sotokanda,+Chiyoda+City,+Tokyo+101-0021"
千代田区,35.69619485,139.77198985,東京都千代田区神田須田町2丁目3-18,"〒101-0041,+Tokyo,+Chiyoda+City,+Kanda+Sudacho,+2-chōme−3−18","2-chōme-3-18+Kanda+Sudacho,+Chiyoda+City,+Tokyo+101-0041"
千代田区,35.68620896,139.73852644,東京都千代田区二番町11-1,"〒102-0084,+Tokyo,+Chiyoda+City,+Nibancho,+11−1","11-1+Nibancho,+Chiyoda+City,+Tokyo+102-0084"
千代田区,35.6990356,139.75018882,東京都千代田区飯田橋2丁目13-9,"〒102-0072,+Tokyo,+Chiyoda+City,+Iidabashi,+2-chōme−13−9","2-chōme-13-9+Iidabashi,+Chiyoda+City,+Tokyo+102-0072"
千代田区,35.69911631,139.75594111,東京都千代田区西神田2丁目8-5,"〒101-0065,+Tokyo,+Chiyoda+City,+Nishikanda,+2-chōme−8−5","2-chōme-8-5+Nishikanda,+Chiyoda+City,+Tokyo+101-0065"
