District,Latitude,Longitude,Address,ConvertedAddress,FormattedAddress
台东区,35.71515952,139.77704144,東京都台東区上野公園6,"〒110-0007,+Tokyo,+Taito+City,+Uenokoen,+6","6+Uenokoen,+Taito+City,+Tokyo+110-0007"
台东区,35.7020165,139.77523656,東京都台東区秋葉原1-5,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+1−5","1-5+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70207204,139.77532544,東京都台東区秋葉原1-8,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+1−8","1-8+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70192206,139.77531434,東京都台東区秋葉原1-9,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+1−9","1-9+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70177486,139.77529213,東京都台東区秋葉原1-1,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+1−1","1-1+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70249421,139.77462271,東京都台東区秋葉原5-7,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−7","5-7+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70233034,139.7748838,東京都台東区秋葉原5-2,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−2","5-2+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70241923,139.77499213,東京都台東区秋葉原5-9,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−9","5-9+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.7023109,139.7750949,東京都台東区秋葉原5-12,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−12","5-12+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70236088,139.77464494,東京都台東区秋葉原5-3,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−3","5-3+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70248032,139.77470881,東京都台東区秋葉原5-8,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+5−8","5-8+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70251084,139.77368668,東京都台東区秋葉原4-12,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+4−12","4-12+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70263583,139.77372278,東京都台東区秋葉原4-14,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+4−14","4-14+Akihabara,+Taito+City,+Tokyo+110-0006"
台东区,35.70221369,139.77500602,東京都台東区秋葉原3-8,"〒110-0006,+Tokyo,+Taito+City,+Akihabara,+3−8","3-8+Akihabara,+Taito+City,+Tokyo+110-0006"
