District,Latitude,Longitude,Address,ConvertedAddress
品川区,35.6202561,139.76977087,東京都品川区東八潮2,"〒135-0092,+Tokyo,+Shinagawa+City,+Higashiyashio,+2"
品川区,35.61928878,139.74081226,東京都品川区北品川2丁目1,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+2-chōme−1"
品川区,35.61857498,139.74108726,東京都品川区北品川2丁目16,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+2-chōme−16"
品川区,35.62278282,139.74055381,東京都品川区北品川1丁目4,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+1-chōme−4"
品川区,35.62489929,139.74236468,東京都品川区北品川1丁目6,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+1-chōme−6"
品川区,35.62464658,139.74349237,東京都品川区北品川1丁目15,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+1-chōme−15"
品川区,35.61995813,139.74046782,東京都品川区北品川1丁目27,"〒140-0001,+Tokyo,+Shinagawa+City,+Kitashinagawa,+1-chōme−27"
品川区,35.62109378,139.72770219,東京都品川区大崎1丁目4,"〒141-0032,+Tokyo,+Shinagawa+City,+Osaki,+1-chōme−4"
品川区,35.61169437,139.70975409,東京都品川区中延2丁目3,"〒142-0053,+Tokyo,+Shinagawa+City,+Nakanobu,+2-chōme−3"
品川区,35.61673046,139.73028269,東京都品川区大崎2丁目12,"〒141-0032,+Tokyo,+Shinagawa+City,+Osaki,+2-chōme−12"
品川区,35.60722601,139.73209681,東京都品川区大井1丁目13,"〒140-0014,+Tokyo,+Shinagawa+City,+Oi,+1-chōme−13"
品川区,35.607351,139.73229679,東京都品川区大井1丁目12,"〒140-0014,+Tokyo,+Shinagawa+City,+Oi,+1-chōme−12"
品川区,35.6077148,139.73013863,東京都品川区大井1丁目17,"〒140-0014,+Tokyo,+Shinagawa+City,+Oi,+1-chōme−17"
品川区,35.62490649,139.69972108,東京都品川区小山台2丁目4,"〒142-0061,+Tokyo,+Shinagawa+City,+Koyamadai,+2-chōme−4"
品川区,35.62451488,139.70038771,東京都品川区小山台2丁目6,"〒142-0061,+Tokyo,+Shinagawa+City,+Koyamadai,+2-chōme−6"
品川区,35.61541893,139.70927065,東京都品川区西中延1丁目1,"〒142-0054,+Tokyo,+Shinagawa+City,+Nishinakanobu,+1-chōme−1"
品川区,35.63735268,139.71367217,東京都品川区上大崎2丁目22,"〒141-0021,+Tokyo,+Shinagawa+City,+Kamiosaki,+2-chōme−22"
品川区,35.63457804,139.71532214,東京都品川区上大崎2丁目28,"〒141-0021,+Tokyo,+Shinagawa+City,+Kamiosaki,+2-chōme−28"
品川区,35.62928981,139.71783325,東京都品川区西五反田3丁目4,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+3-chōme−4"
品川区,35.62867875,139.71716389,東京都品川区西五反田3丁目3,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+3-chōme−3"
品川区,35.63257827,139.71564163,東京都品川区上大崎4丁目2,"〒141-0021,+Tokyo,+Shinagawa+City,+Kamiosaki,+4-chōme−2"
品川区,35.62599307,139.72187193,東京都品川区西五反田2丁目21,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+2-chōme−21"
品川区,35.6224183,139.71541151,東京都品川区西五反田6丁目4,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+6-chōme−4"
品川区,35.62539041,139.72396899,東京都品川区西五反田1丁目6,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+1-chōme−6"
品川区,35.62333508,139.72329135,東京都品川区西五反田1丁目19,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+1-chōme−19"
品川区,35.62430164,139.72376905,東京都品川区西五反田1丁目12,"〒141-0031,+Tokyo,+Shinagawa+City,+Nishigotanda,+1-chōme−12"
品川区,35.62176702,139.76881811,東京都品川区東八潮1-2,"〒135-0092,+Tokyo,+Shinagawa+City,+Higashiyashio,+1−2"
品川区,35.62378349,139.76991238,東京都品川区東八潮1-1,"〒135-0092,+Tokyo,+Shinagawa+City,+Higashiyashio,+1−1"
品川区,35.62089219,139.77139015,東京都品川区東八潮3-1,"〒135-0092,+Tokyo,+Shinagawa+City,+Higashiyashio,+3−1"
品川区,35.62520249,139.75921324,東京都品川区東品川5丁目2,"〒140-0002,+Tokyo,+Shinagawa+City,+Higashishinagawa,+5-chōme−2"
品川区,35.62349157,139.75929941,東京都品川区東品川5丁目3,"〒140-0002,+Tokyo,+Shinagawa+City,+Higashishinagawa,+5-chōme−3"
品川区,35.62025305,139.75933288,東京都品川区東品川5丁目5,"〒140-0002,+Tokyo,+Shinagawa+City,+Higashishinagawa,+5-chōme−5"
品川区,35.6209417,139.75331391,東京都品川区東品川5丁目10,"〒140-0002,+Tokyo,+Shinagawa+City,+Higashishinagawa,+5-chōme−10"
品川区,35.60616854,139.75981117,東京都品川区八潮2丁目10,"〒140-0003,+Tokyo,+Shinagawa+City,+Yashio,+2-chōme−10"
品川区,35.60315226,139.76170836,東京都品川区八潮2丁目9,"〒140-0003,+Tokyo,+Shinagawa+City,+Yashio,+2-chōme−9"
品川区,35.59434703,139.73669693,東京都品川区南大井1丁目22,"〒140-0013,+Tokyo,+Shinagawa+City,+Minamioi,+1-chōme−22"
品川区,35.59631919,139.74289911,東京都品川区勝島1丁目8,"〒140-0012,+Tokyo,+Shinagawa+City,+Katsushima,+1-chōme−8"
品川区,35.59196949,139.73602487,東京都品川区南大井3丁目3,"〒140-0013,+Tokyo,+Shinagawa+City,+Minamioi,+3-chōme−3"
品川区,35.59060853,139.73584161,東京都品川区南大井3丁目10,"〒140-0013,+Tokyo,+Shinagawa+City,+Minamioi,+3-chōme−10"
品川区,35.60914505,139.72510011,東京都品川区豊町2丁目20,"〒142-0042,+Tokyo,+Shinagawa+City,+Yutakacho,+2-chōme−20"
品川区,35.61696596,139.70856787,東京都品川区荏原3丁目5-5,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−5"
品川区,35.61674653,139.70825401,東京都品川区荏原3丁目5-15,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−15"
品川区,35.61723535,139.70795958,東京都品川区荏原3丁目5-22,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−22"
品川区,35.61654656,139.70862621,東京都品川区荏原3丁目5-8,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−8"
品川区,35.61643268,139.70856511,東京都品川区荏原3丁目5-12,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−12"
品川区,35.61639381,139.70860678,東京都品川区荏原3丁目5-11,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−11"
品川区,35.61688818,139.7081068,東京都品川区荏原3丁目5-4,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−4"
品川区,35.61734925,139.70850397,東京都品川区荏原3丁目5-2,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−2"
品川区,35.61666599,139.70857899,東京都品川区荏原3丁目5-7,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−7"
品川区,35.61645213,139.70863455,東京都品川区荏原3丁目5-9,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−9"
品川区,35.61724093,139.70855119,東京都品川区荏原3丁目5-3,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−3"
品川区,35.61726313,139.70808179,東京都品川区荏原3丁目5-23,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−23"
品川区,35.61748812,139.70852618,東京都品川区荏原3丁目5-1,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−1"
品川区,35.61679098,139.70851233,東京都品川区荏原3丁目5-6,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−6"
品川区,35.61658822,139.70840679,東京都品川区荏原3丁目5-13,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−13"
品川区,35.61704926,139.70786236,東京都品川区荏原3丁目5-20,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−20"
品川区,35.61678263,139.70807625,東京都品川区荏原3丁目5-16,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−16"
品川区,35.61667988,139.70834846,東京都品川区荏原3丁目5-14,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−14"
品川区,35.61717703,139.70785959,東京都品川区荏原3丁目5-21,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−21"
品川区,35.61709647,139.7077346,東京都品川区荏原3丁目5-19,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−19"
品川区,35.61707149,139.70828178,東京都品川区荏原3丁目5-24,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−24"
品川区,35.61742701,139.70835954,東京都品川区荏原3丁目5-25,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−25"
品川区,35.61680485,139.70772905,東京都品川区荏原3丁目6-1,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−1"
品川区,35.61663264,139.70773184,東京都品川区荏原3丁目6-2,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−2"
品川区,35.61748812,139.70846785,東京都品川区荏原3丁目5-26,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−5−26"
品川区,35.61634934,139.70794572,東京都品川区荏原3丁目6-11,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−11"
品川区,35.61628546,139.70805405,東京都品川区荏原3丁目6-10,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−10"
品川区,35.61647156,139.70820681,東京都品川区荏原3丁目6-5,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−5"
品川区,35.61625492,139.70812904,東京都品川区荏原3丁目6-8,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−8"
品川区,35.61638824,139.70833736,東京都品川区荏原3丁目6-6,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−6"
品川区,35.61659653,139.70779017,東京都品川区荏原3丁目6-13,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−13"
品川区,35.61656321,139.70799571,東京都品川区荏原3丁目6-3,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−3"
品川区,35.61642711,139.70781795,東京都品川区荏原3丁目6-12,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−12"
品川区,35.61628822,139.70735689,東京都品川区荏原4丁目3-2,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−2"
品川区,35.61652989,139.7080346,東京都品川区荏原3丁目6-4,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−4"
品川区,35.61596605,139.7075541,東京都品川区荏原4丁目3-7,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−7"
品川区,35.61659097,139.70753186,東京都品川区荏原3丁目6-16,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+3-chōme−6−16"
品川区,35.61582994,139.70721525,東京都品川区荏原4丁目3-9,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−9"
品川区,35.61610214,139.70757632,東京都品川区荏原4丁目3-4,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−4"
品川区,35.61576328,139.7071597,東京都品川区荏原4丁目3-11,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−11"
品川区,35.6161049,139.70680972,東京都品川区荏原4丁目3-17,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−17"
品川区,35.61600491,139.70677084,東京都品川区荏原4丁目3-15,"〒142-0063,+Tokyo,+Shinagawa+City,+Ebara,+4-chōme−3−15"
