District,Latitude,Longitude,Address,ConvertedAddress
墨田区,35.71004231,139.83927247,東京都墨田区立花6丁目24,"〒131-0043,+Tokyo,+Sumida+City,+Tachibana,+6-chōme−24"
墨田区,35.69387672,139.81164492,東京都墨田区江東橋2丁目4,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+2-chōme−4"
墨田区,35.71214418,139.81424118,東京都墨田区押上1丁目9,"〒131-0045,+Tokyo,+Sumida+City,+Oshiage,+1-chōme−9"
墨田区,35.71667435,139.81897393,東京都墨田区京島1丁目7,"〒131-0046,+Tokyo,+Sumida+City,+Kyojima,+1-chōme−7"
墨田区,35.71609662,139.81788237,東京都墨田区京島1丁目8,"〒131-0046,+Tokyo,+Sumida+City,+Kyojima,+1-chōme−8"
墨田区,35.73285017,139.81381538,東京都墨田区堤通2丁目2,"〒131-0034,+Tokyo,+Sumida+City,+Tsutsumidori,+2-chōme−2"
墨田区,35.73431392,139.81519576,東京都墨田区堤通2丁目15,"〒131-0034,+Tokyo,+Sumida+City,+Tsutsumidori,+2-chōme−15"
墨田区,35.70883303,139.79872319,東京都墨田区吾妻橋1丁目12,"〒130-0001,+Tokyo,+Sumida+City,+Azumabashi,+1-chōme−12"
墨田区,35.74052994,139.8170648,東京都墨田区墨田5丁目18,"〒131-0031,+Tokyo,+Sumida+City,+Sumida,+5-chōme−18"
墨田区,35.74077159,139.81721755,東京都墨田区墨田5丁目20,"〒131-0031,+Tokyo,+Sumida+City,+Sumida,+5-chōme−20"
墨田区,35.74013554,139.81697315,東京都墨田区墨田5丁目19,"〒131-0031,+Tokyo,+Sumida+City,+Sumida,+5-chōme−19"
墨田区,35.69765128,139.81123647,東京都墨田区錦糸1丁目3,"〒130-0013,+Tokyo,+Sumida+City,+Kinshi,+1-chōme−3"
墨田区,35.69202124,139.80635933,東京都墨田区立川4丁目18,"〒130-0023,+Tokyo,+Sumida+City,+Tatekawa,+4-chōme−18"
墨田区,35.7156637,139.83173956,東京都墨田区東墨田1丁目8,"〒131-0042,+Tokyo,+Sumida+City,+Higashisumida,+1-chōme−8"
墨田区,35.70901937,139.80797518,東京都墨田区業平1丁目16,"〒130-0002,+Tokyo,+Sumida+City,+Narihira,+1-chōme−16"
墨田区,35.706367,139.81237491,東京都墨田区業平2丁目3,"〒130-0002,+Tokyo,+Sumida+City,+Narihira,+2-chōme−3"
墨田区,35.71177728,139.80402817,東京都墨田区向島1丁目3,"〒131-0033,+Tokyo,+Sumida+City,+Mukojima,+1-chōme−3"
墨田区,35.70567499,139.79672626,東京都墨田区東駒形1丁目2,"〒130-0005,+Tokyo,+Sumida+City,+Higashikomagata,+1-chōme−2"
墨田区,35.6936768,139.81387807,東京都墨田区江東橋3丁目3-5,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−5"
墨田区,35.6936657,139.81410582,東京都墨田区江東橋3丁目3-7,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−7"
墨田区,35.69478777,139.81323364,東京都墨田区江東橋3丁目9-3,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−3"
墨田区,35.69366569,139.81373919,東京都墨田区江東橋3丁目3-4,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−4"
墨田区,35.69319351,139.8133698,東京都墨田区江東橋3丁目1-1,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−1"
墨田区,35.69344351,139.81419749,東京都墨田区江東橋3丁目3-9,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−9"
墨田区,35.69531552,139.8142363,東京都墨田区江東橋3丁目9-14,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−14"
墨田区,35.69349627,139.81379752,東京都墨田区江東橋3丁目3-2,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−2"
墨田区,35.69326298,139.81458079,東京都墨田区江東橋3丁目1-10,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−10"
墨田区,35.6934685,139.8139864,東京都墨田区江東橋3丁目3-10,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−10"
墨田区,35.69504052,139.81321974,東京都墨田区江東橋3丁目9-7,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−7"
墨田区,35.69355738,139.81420026,東京都墨田区江東橋3丁目3-8,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−3−8"
墨田区,35.69326576,139.81475578,東京都墨田区江東橋3丁目1-11,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−11"
墨田区,35.69489055,139.81371692,東京都墨田区江東橋3丁目9-10,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−10"
墨田区,35.69322964,139.81416417,東京都墨田区江東橋3丁目1-6,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−6"
墨田区,35.6948739,139.81429187,東京都墨田区江東橋3丁目9-17,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−17"
墨田区,35.69505166,139.81426687,東京都墨田区江東橋3丁目9-16,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−16"
墨田区,35.69471834,139.81323086,東京都墨田区江東橋3丁目9-1,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−1"
墨田区,35.69519331,139.81426408,東京都墨田区江東橋3丁目9-15,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−15"
墨田区,35.69323519,139.81400584,東京都墨田区江東橋3丁目1-5,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−5"
墨田区,35.69458782,139.81412245,東京都墨田区江東橋3丁目9-21,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−21"
墨田区,35.69325186,139.81438915,東京都墨田区江東橋3丁目1-8,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−8"
墨田区,35.69457948,139.81394192,東京都墨田区江東橋3丁目9-22,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−9−22"
墨田区,35.69377667,139.80950899,東京都墨田区江東橋1丁目5-2,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+1-chōme−5−2"
墨田区,35.69321852,139.81364477,東京都墨田区江東橋3丁目1-3,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−1−3"
