District,Latitude,Longitude,Address,ConvertedAddress,FormattedAddress
文京区,35.73145984,139.75424828,東京都文京区本駒込4丁目13,"〒113-0021,+Tokyo,+Bunkyo+City,+Honkomagome,+4-chōme−13","4-chōme-13+Honkomagome,+Bunkyo+City,+Tokyo+113-0021"
文京区,35.73172931,139.75646752,東京都文京区本駒込4丁目18,"〒113-0021,+Tokyo,+Bunkyo+City,+Honkomagome,+4-chōme−18","4-chōme-18+Honkomagome,+Bunkyo+City,+Tokyo+113-0021"
文京区,35.73233188,139.75111795,東京都文京区本駒込5丁目17,"〒113-0021,+Tokyo,+Bunkyo+City,+Honkomagome,+5-chōme−17","5-chōme-17+Honkomagome,+Bunkyo+City,+Tokyo+113-0021"
文京区,35.71021711,139.72889295,東京都文京区関口1丁目22,"〒112-0014,+Tokyo,+Bunkyo+City,+Sekiguchi,+1-chōme−22","1-chōme-22+Sekiguchi,+Bunkyo+City,+Tokyo+112-0014"
文京区,35.71302229,139.72669859,東京都文京区関口2丁目9,"〒112-0014,+Tokyo,+Bunkyo+City,+Sekiguchi,+2-chōme−9","2-chōme-9+Sekiguchi,+Bunkyo+City,+Tokyo+112-0014"
文京区,35.72608756,139.72975057,東京都文京区大塚4丁目53,"〒112-0012,+Tokyo,+Bunkyo+City,+Otsuka,+4-chōme−53","4-chōme-53+Otsuka,+Bunkyo+City,+Tokyo+112-0012"
文京区,35.72100768,139.73339491,東京都文京区大塚3丁目12,"〒112-0012,+Tokyo,+Bunkyo+City,+Otsuka,+3-chōme−12","3-chōme-12+Otsuka,+Bunkyo+City,+Tokyo+112-0012"
文京区,35.72195487,139.73619186,東京都文京区大塚3丁目26,"〒112-0012,+Tokyo,+Bunkyo+City,+Otsuka,+3-chōme−26","3-chōme-26+Otsuka,+Bunkyo+City,+Tokyo+112-0012"
文京区,35.72045235,139.73962774,東京都文京区大塚3丁目31,"〒112-0012,+Tokyo,+Bunkyo+City,+Otsuka,+3-chōme−31","3-chōme-31+Otsuka,+Bunkyo+City,+Tokyo+112-0012"
文京区,35.72069122,139.73999993,東京都文京区大塚3丁目32,"〒112-0012,+Tokyo,+Bunkyo+City,+Otsuka,+3-chōme−32","3-chōme-32+Otsuka,+Bunkyo+City,+Tokyo+112-0012"
