District,Latitude,Longitude,Address,ConvertedAddress
新宿区,35.70049633,139.74188669,東京都新宿区神楽坂2丁目3,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−3"
新宿区,35.70055743,139.74201722,東京都新宿区神楽坂2丁目1,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−1"
新宿区,35.70055466,139.74171448,東京都新宿区神楽坂2丁目5,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−5"
新宿区,35.70097129,139.74238941,東京都新宿区神楽坂2丁目10,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−10"
新宿区,35.70172953,139.74185608,東京都新宿区神楽坂2丁目14,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−14"
新宿区,35.70069629,139.74150615,東京都新宿区神楽坂2丁目6,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−6"
新宿区,35.70094348,139.74096175,東京都新宿区神楽坂3丁目5,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+3-chōme−5"
新宿区,35.70132682,139.74280047,東京都新宿区神楽坂2丁目19,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−19"
新宿区,35.70137958,139.74250882,東京都新宿区神楽坂2丁目17,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−17"
新宿区,35.70138506,139.73978961,東京都新宿区神楽坂3丁目7,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+3-chōme−7"
新宿区,35.70027412,139.74126175,東京都新宿区神楽坂2丁目22,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+2-chōme−22"
新宿区,35.6990437,139.74107293,東京都新宿区神楽坂1丁目2,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+1-chōme−2"
新宿区,35.69884094,139.74089795,東京都新宿区神楽坂1丁目1,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+1-chōme−1"
新宿区,35.70259044,139.73808971,東京都新宿区神楽坂6丁目2,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−2"
新宿区,35.70096296,139.74261716,東京都新宿区神楽坂1丁目14,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+1-chōme−14"
新宿区,35.70127127,139.74291712,東京都新宿区神楽坂1丁目15,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+1-chōme−15"
新宿区,35.70244046,139.73805915,東京都新宿区神楽坂6丁目6,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−6"
新宿区,35.70248767,139.73798416,東京都新宿区神楽坂6丁目7,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−7"
新宿区,35.70313757,139.73715364,東京都新宿区神楽坂6丁目16,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−16"
新宿区,35.70237657,139.73813137,東京都新宿区神楽坂6丁目4,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−4"
新宿区,35.7029987,139.7371231,東京都新宿区神楽坂6丁目14,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−14"
新宿区,35.70205992,139.73719257,東京都新宿区神楽坂6丁目12,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−12"
新宿区,35.70311813,139.73692033,東京都新宿区神楽坂6丁目17,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−17"
新宿区,35.70322088,139.73676756,東京都新宿区神楽坂6丁目19,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−19"
新宿区,35.70359584,139.73637592,東京都新宿区神楽坂6丁目25,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−25"
新宿区,35.70369582,139.73620648,東京都新宿区神楽坂6丁目30,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−30"
新宿区,35.70399023,139.7361287,東京都新宿区神楽坂6丁目28,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−28"
新宿区,35.70364862,139.73711475,東京都新宿区神楽坂6丁目23,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−23"
新宿区,35.70387914,139.73633146,東京都新宿区神楽坂6丁目27,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−27"
新宿区,35.70345141,139.73640369,東京都新宿区神楽坂6丁目18,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−18"
新宿区,35.70375693,139.73625648,東京都新宿区神楽坂6丁目29,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−29"
新宿区,35.70325974,139.73531768,東京都新宿区神楽坂6丁目40,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−40"
新宿区,35.70377635,139.73562875,東京都新宿区神楽坂6丁目37,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−37"
新宿区,35.70357914,139.73511492,東京都新宿区神楽坂6丁目42,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−42"
新宿区,35.70335974,139.73578987,東京都新宿区神楽坂6丁目46,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−46"
新宿区,35.70344585,139.73601207,東京都新宿区神楽坂6丁目47,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−47"
新宿区,35.70346804,139.73505104,東京都新宿区神楽坂6丁目41,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−41"
新宿区,35.70340972,139.73524269,東京都新宿区神楽坂6丁目43,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−43"
新宿区,35.7027987,139.73635373,東京都新宿区神楽坂6丁目57,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−57"
新宿区,35.70286536,139.73612041,東京都新宿区神楽坂6丁目56,"〒162-0825+Tokyo,+Shinjuku+City,+Kagurazaka,+6-chōme−56"
