District,Latitude,Longitude,Address
板橋区,35.76747931,139.69948205,東京都板橋区泉町43
板橋区,35.74284064,139.70779066,東京都板橋区熊野町19
板橋区,35.74308229,139.70786565,東京都板橋区熊野町20
板橋区,35.74478182,139.69761367,東京都板橋区幸町27
板橋区,35.74956463,139.69801622,東京都板橋区大山町48
板橋区,35.74942295,139.69666911,東京都板橋区大山町54
板橋区,35.74857311,139.69930782,東京都板橋区大山町70
板橋区,35.77636106,139.67782241,東京都板橋区相生町18
板橋区,35.74806479,139.69769964,東京都板橋区大山西町4
板橋区,35.74844788,139.69007249,東京都板橋区大谷口上町55
板橋区,35.74880337,139.68953086,東京都板橋区大谷口上町56
板橋区,35.74817290,139.68960866,東京都板橋区大谷口上町57
板橋区,35.74870060,139.68913923,東京都板橋区大谷口上町73
板橋区,35.74818399,139.68912815,東京都板橋区大谷口上町72
板橋区,35.76784592,139.69855988,東京都板橋区大原町26
板橋区,35.76805143,139.69765718,東京都板橋区大原町28
板橋区,35.76824864,139.69806269,東京都板橋区大原町27
板橋区,35.75142805,139.68847807,東京都板橋区大谷口北町39
板橋区,35.76665739,139.70689256,東京都板橋区清水町62
板橋区,35.76623235,139.70388449,東京都板橋区清水町76
板橋区,35.78526756,139.64683858,東京都板橋区大門16
板橋区,35.75339193,139.69653008,東京都板橋区仲町42
板橋区,35.74154339,139.70113295,東京都板橋区南町42
板橋区,35.75508396,139.71698105,東京都板橋区加賀1丁目13
板橋区,35.74954549,139.70934026,東京都板橋区板橋2丁目57
板橋区,35.74966775,139.71116510,東京都板橋区板橋2丁目59
板橋区,35.74965662,139.71048183,東京都板橋区板橋2丁目58
板橋区,35.74945659,139.70870976,東京都板橋区板橋2丁目56
板橋区,35.75197853,139.70861801,東京都板橋区板橋2丁目69
板橋区,35.78017785,139.69830941,東京都板橋区小豆沢4丁目17
板橋区,35.77744199,139.69601249,東京都板橋区小豆沢3丁目5
板橋区,35.76944126,139.63502634,東京都板橋区赤塚新町3丁目36
板橋区,35.78021820,139.64949967,東京都板橋区赤塚7丁目28
板橋区,35.78598685,139.64398324,東京都板橋区赤塚5丁目36
板橋区,35.76148596,139.71489486,東京都板橋区稲荷台1-10
板橋区,35.76131653,139.71491152,東京都板橋区稲荷台1-3
板橋区,35.76138042,139.71501985,東京都板橋区稲荷台1-2
板橋区,35.78396761,139.64328061,東京都板橋区赤塚5丁目33
板橋区,35.76121932,139.71471988,東京都板橋区稲荷台1-4
板橋区,35.76116099,139.71469211,東京都板橋区稲荷台1-7
板橋区,35.76112489,139.71473655,東京都板橋区稲荷台1-6
板橋区,35.76127210,139.71483098,東京都板橋区稲荷台1-9
板橋区,35.76147764,139.71508650,東京都板橋区稲荷台1-1
板橋区,35.76158040,139.71501984,東京都板橋区稲荷台1-11
板橋区,35.76129153,139.71464489,東京都板橋区稲荷台1-8
板橋区,35.78259561,139.64548881,東京都板橋区赤塚8丁目11
板橋区,35.78566746,139.64472208,東京都板橋区赤塚8丁目22
板橋区,35.76132760,139.71311447,東京都板橋区稲荷台5-4
板橋区,35.76143315,139.71336999,東京都板橋区稲荷台5-2
板橋区,35.76141648,139.71321167,東京都板橋区稲荷台5-3
板橋区,35.76145537,139.71347553,東京都板橋区稲荷台5-1
板橋区,35.76168868,139.71348386,東京都板橋区稲荷台5-13
板橋区,35.76129148,139.71288393,東京都板橋区稲荷台5-6
板橋区,35.76135260,139.71296170,東京都板橋区稲荷台5-5
板橋区,35.76150259,139.71320334,東京都板橋区稲荷台5-10
板橋区,35.76146925,139.71305336,東京都板橋区稲荷台5-9
板橋区,35.76154706,139.71461154,東京都板橋区稲荷台2-2
板橋区,35.76157758,139.71347276,東京都板橋区稲荷台5-14
板橋区,35.76141374,139.71452267,東京都板橋区稲荷台2-3
板橋区,35.76143036,139.71291726,東京都板橋区稲荷台5-8
板橋区,35.76151928,139.71448100,東京都板橋区稲荷台2-5
板橋区,35.76167201,139.71341721,東京都板橋区稲荷台5-11
板橋区,35.76220530,139.71401434,東京都板橋区稲荷台2-10
板橋区,35.76160538,139.71441433,東京都板橋区稲荷台2-6
板橋区,35.76168594,139.71485874,東京都板橋区稲荷台2-1
板橋区,35.76225807,139.71396157,東京都板橋区稲荷台2-11
板橋区,35.76207476,139.71406990,東京都板橋区稲荷台2-9
板橋区,35.76184702,139.71429767,東京都板橋区稲荷台2-7
板橋区,35.76230528,139.71392824,東京都板橋区稲荷台2-12
板橋区,35.76195811,139.71422268,東京都板橋区稲荷台2-22
板橋区,35.76211365,139.71411156,東京都板橋区稲荷台2-21
板橋区,35.76176093,139.71475875,東京都板橋区稲荷台2-25
板橋区,35.76230252,139.71401712,東京都板橋区稲荷台2-20
板橋区,35.76191645,139.71417823,東京都板橋区稲荷台2-8
板橋区,35.76238861,139.71389769,東京都板橋区稲荷台2-19
板橋区,35.76250249,139.71379213,東京都板橋区稲荷台2-13
板橋区,35.76055825,139.71361444,東京都板橋区稲荷台9-1
板橋区,35.76187758,139.71456431,東京都板橋区稲荷台2-24
板橋区,35.76046937,139.71350057,東京都板橋区稲荷台9-3
板橋区,35.76193034,139.71449209,東京都板橋区稲荷台2-23
板橋区,35.76074712,139.71352833,東京都板橋区稲荷台9-5
板橋区,35.76061380,139.71350612,東京都板橋区稲荷台9-4
板橋区,35.76121373,139.71311447,東京都板橋区稲荷台9-10
板橋区,35.76100541,139.71318391,東京都板橋区稲荷台9-8
板橋区,35.76123595,139.71327557,東京都板橋区稲荷台9-12
板橋区,35.76111929,139.71337834,東京都板橋区稲荷台9-7
板橋区,35.76083878,139.71339224,東京都板橋区稲荷台9-6
板橋区,35.76122762,139.71319779,東京都板橋区稲荷台9-11
板橋区,35.76097766,139.71376719,東京都板橋区稲荷台8-5
板橋区,35.76077768,139.71379220,東京都板橋区稲荷台8-4
板橋区,35.76129428,139.71350887,東京都板橋区稲荷台9-13
板橋区,35.76096654,139.71359777,東京都板橋区稲荷台9-16
