District,Latitude,Longitude,Address,ConvertedAddress
江東区,35.59957057,139.80847952,東京都江東区中央防波堤,"〒135-0065,+Tokyo,+Koto+City,+Chyuobohatei"
江東区,35.67281495,139.80240488,東京都江東区冬木3,"〒135-0041,+Tokyo,+Koto+City,+Fuyuki,+3"
江東区,35.68394416,139.79887418,東京都江東区高橋1,"〒135-0005,+Tokyo,+Koto+City,+Takabashi,+1"
江東区,35.66776536,139.79596396,東京都江東区越中島2丁目16,"〒135-0044,+Tokyo,+Koto+City,+Ecchyujima,+2-chōme−16"
江東区,35.63930723,139.78796023,東京都江東区有明1丁目8,"〒135-0063,+Tokyo,+Koto+City,+Ariake,+1-chōme−8"
江東区,35.64035161,139.78987947,東京都江東区有明1丁目9,"〒135-0063,+Tokyo,+Koto+City,+Ariake,+1-chōme−9"
江東区,35.63929916,139.79763719,東京都江東区有明2丁目11,"〒135-0063,+Tokyo,+Koto+City,+Ariake,+2-chōme−11"
江東区,35.6956546,139.82269112,東京都江東区亀戸1丁目9,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+1-chōme−9"
江東区,35.69402699,139.82254676,東京都江東区亀戸1丁目15,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+1-chōme−15"
江東区,35.69568518,139.82394379,東京都江東区亀戸1丁目22,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+1-chōme−22"
江東区,35.6970267,139.82409651,東京都江東区亀戸1丁目41,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+1-chōme−41"
江東区,35.70200142,139.8345732,東京都江東区亀戸8丁目24,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+8-chōme−24"
江東区,35.70152642,139.83264005,東京都江東区亀戸8丁目28,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+8-chōme−28"
江東区,35.62821403,139.78809956,東京都江東区有明3丁目2,"〒135-0063,+Tokyo,+Koto+City,+Ariake,+3-chōme−2"
江東区,35.70356494,139.82736263,東京都江東区亀戸4丁目27,"〒136-0071,+Tokyo,+Koto+City,+Kameido,+4-chōme−27"
江東区,35.68047284,139.81822545,東京都江東区海辺3-1,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−1"
江東区,35.68038954,139.81870874,東京都江東区海辺3-11,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−11"
江東区,35.68035064,139.81842822,東京都江東区海辺3-12,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−12"
江東区,35.68052562,139.81835877,東京都江東区海辺3-4,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−4"
江東区,35.68045619,139.8188254,東京都江東区海辺3-7,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−7"
江東区,35.68042008,139.8185532,東京都江東区海辺3-5,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−5"
江東区,35.68031455,139.81880041,東京都江東区海辺3-9,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+3−9"
江東区,35.6803895,139.81735608,東京都江東区海辺2-1,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−1"
江東区,35.6805256,139.8173783,東京都江東区海辺2-2,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−2"
江東区,35.68063391,139.81738662,東京都江東区海辺2-3,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−3"
江東区,35.68049784,139.81797547,東京都江東区海辺2-7,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−7"
江東区,35.68060338,139.81776159,東京都江東区海辺2-6,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−6"
江東区,35.68069502,139.81736162,東京都江東区海辺2-4,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−4"
江東区,35.68037284,139.81774493,東京都江東区海辺2-13,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−13"
江東区,35.68029785,139.81781438,東京都江東区海辺2-12,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−12"
江東区,35.68027564,139.81791437,東京都江東区海辺2-10,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−10"
江東区,35.68048116,139.81750606,東京都江東区海辺2-5,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−5"
江東区,35.67989234,139.81740887,東京都江東区海辺1-1,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+1−1"
江東区,35.68038673,139.81756995,東京都江東区海辺2-14,"〒135-0012,+Tokyo,+Koto+City,+Umibe,+2−14"
