District,Latitude,Longitude,Address,ConvertedAddress
渋谷区,35.66425496,139.70409135,東京都渋谷区神宮前5丁目32,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+5-chōme−32"
渋谷区,35.66443827,139.70398025,東京都渋谷区神宮前5丁目31,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+5-chōme−31"
渋谷区,35.66501871,139.7020165,東京都渋谷区神宮前6丁目22,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+6-chōme−22"
渋谷区,35.64251039,139.71190823,東京都渋谷区恵比寿南1丁目26,"〒150-0022+Tokyo,+Shibuya+City,+Ebisuminami,+1-chōme−26"
渋谷区,35.6434852,139.70868069,東京都渋谷区恵比寿南2丁目11,"〒150-0022+Tokyo,+Shibuya+City,+Ebisuminami,+2-chōme−11"
渋谷区,35.64242981,139.71069167,東京都渋谷区恵比寿南2丁目30,"〒150-0022+Tokyo,+Shibuya+City,+Ebisuminami,+2-chōme−30"
渋谷区,35.65743896,139.69998643,東京都渋谷区道玄坂1丁目8,"〒150-0043+Tokyo,+Shibuya+City,+Dogenzaka,+1-chōme−8"
渋谷区,35.65779727,139.700778,東京都渋谷区道玄坂1丁目1,"〒150-0043+Tokyo,+Shibuya+City,+Dogenzaka,+1-chōme−1"
渋谷区,35.65943329,139.70446374,東京都渋谷区渋谷2丁目18,"〒150-0002+Tokyo,+Shibuya+City,+Shibuya,+2-chōme−18"
渋谷区,35.65724184,139.70338891,東京都渋谷区渋谷3丁目20,"〒150-0002+Tokyo,+Shibuya+City,+Shibuya,+3-chōme−20"
渋谷区,35.65536712,139.70584156,東京都渋谷区渋谷3丁目24,"〒150-0002+Tokyo,+Shibuya+City,+Shibuya,+3-chōme−24"
渋谷区,35.65904434,139.70038355,東京都渋谷区道玄坂2丁目2,"〒150-0043+Tokyo,+Shibuya+City,+Dogenzaka,+2-chōme−2"
渋谷区,35.68739125,139.70452095,東京都渋谷区千駄ケ谷6丁目2,"〒150-0000+Tokyo,+Shibuya+City,+千駄ケ谷,+6-chōme−2"
渋谷区,35.68775776,139.70036295,東京都渋谷区千駄ケ谷5丁目35,"〒150-0000+Tokyo,+Shibuya+City,+千駄ケ谷,+5-chōme−35"
渋谷区,35.6785536,139.71346775,東京都渋谷区千駄ケ谷1丁目15,"〒150-0000+Tokyo,+Shibuya+City,+千駄ケ谷,+1-chōme−15"
渋谷区,35.6814726,139.70940688,東京都渋谷区千駄ケ谷1丁目36,"〒150-0000+Tokyo,+Shibuya+City,+千駄ケ谷,+1-chōme−36"
渋谷区,35.66073271,139.68833172,東京都渋谷区松濤2丁目22,"〒150-0046+Tokyo,+Shibuya+City,+Shyoto,+2-chōme−22"
渋谷区,35.67789743,139.68781163,東京都渋谷区初台1丁目1,"〒151-0061+Tokyo,+Shibuya+City,+Hatsudai,+1-chōme−1"
渋谷区,35.66036072,139.69523392,東京都渋谷区松濤1丁目30,"〒150-0046+Tokyo,+Shibuya+City,+Shyoto,+1-chōme−30"
渋谷区,35.64814031,139.71177191,東京都渋谷区恵比寿1丁目2,"〒150-0013+Tokyo,+Shibuya+City,+Ebisu,+1-chōme−2"
渋谷区,35.64770989,139.71485498,東京都渋谷区恵比寿1丁目17,"〒150-0013+Tokyo,+Shibuya+City,+Ebisu,+1-chōme−17"
渋谷区,35.67852479,139.67483771,東京都渋谷区幡ケ谷2丁目43,"〒150-0000+Tokyo,+Shibuya+City,+幡ケ谷,+2-chōme−43"
渋谷区,35.67865801,139.67125468,東京都渋谷区幡ケ谷3丁目33,"〒150-0000+Tokyo,+Shibuya+City,+幡ケ谷,+3-chōme−33"
渋谷区,35.67812474,139.67130746,東京都渋谷区幡ケ谷3丁目35,"〒150-0000+Tokyo,+Shibuya+City,+幡ケ谷,+3-chōme−35"
渋谷区,35.67796919,139.6708964,東京都渋谷区幡ケ谷3丁目36,"〒150-0000+Tokyo,+Shibuya+City,+幡ケ谷,+3-chōme−36"
渋谷区,35.67276701,139.67160488,東京都渋谷区笹塚1丁目1,"〒151-0073+Tokyo,+Shibuya+City,+Sasazuka,+1-chōme−1"
渋谷区,35.68039968,139.67855121,東京都渋谷区本町1丁目63,"〒151-0071+Tokyo,+Shibuya+City,+Honchyo,+1-chōme−63"
渋谷区,35.68647164,139.69460516,東京都渋谷区代々木3丁目21,"〒151-0053+Tokyo,+Shibuya+City,+Yoyogi,+3-chōme−21"
渋谷区,35.68745735,139.68375326,東京都渋谷区本町3丁目6,"〒151-0071+Tokyo,+Shibuya+City,+Honchyo,+3-chōme−6"
渋谷区,35.68997651,139.68345597,東京都渋谷区本町3丁目15,"〒151-0071+Tokyo,+Shibuya+City,+Honchyo,+3-chōme−15"
渋谷区,35.65690603,139.71311033,東京都渋谷区東4丁目5,"〒150-0011+Tokyo,+Shibuya+City,+Higashi,+4-chōme−5"
渋谷区,35.65370623,139.70709985,東京都渋谷区東1丁目30,"〒150-0011+Tokyo,+Shibuya+City,+Higashi,+1-chōme−30"
渋谷区,35.65377842,139.70648324,東京都渋谷区東1丁目34,"〒150-0011+Tokyo,+Shibuya+City,+Higashi,+1-chōme−34"
渋谷区,35.65292853,139.70692768,東京都渋谷区東1丁目36,"〒150-0011+Tokyo,+Shibuya+City,+Higashi,+1-chōme−36"
渋谷区,35.67118473,139.70404664,東京都渋谷区神宮前1丁目16-3,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+1-chōme−16-3"
渋谷区,35.66934609,139.70539937,東京都渋谷区神宮前1丁目11-1,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+1-chōme−11-1"
渋谷区,35.66914889,139.7054105,東京都渋谷区神宮前1丁目11-6,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+1-chōme−11-6"
渋谷区,35.67119306,139.70434383,東京都渋谷区神宮前1丁目16-4,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+1-chōme−16-4"
渋谷区,35.67100422,139.70504378,東京都渋谷区神宮前1丁目16-9,"〒150-0001+Tokyo,+Shibuya+City,+Jingumae,+1-chōme−16-9"
