District,Latitude,Longitude,Address,ConvertedAddress,FormattedAddress
港区,35.66532009,139.75490644,東京都港区新橋3丁目7-7,"〒105-0004,+Tokyo,+Minato+City,+Shinbashi,+3-chōme−7−7","3-chōme-7-7+Shinbashi,+Minato+City,+Tokyo+105-0004"
港区,35.64183331,139.73515627,東京都港区高輪1丁目8-3,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+1-chōme−8−3","1-chōme-8-3+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.6343175,139.73570653,東京都港区高輪3丁目16-11,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+3-chōme−16−11","3-chōme-16-11+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.63242317,139.73228189,東京都港区高輪3丁目9-6,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+3-chōme−9−6","3-chōme-9-6+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.65676791,139.74153569,東京都港区東麻布2丁目17-11,"〒106-0044,+Tokyo,+Minato+City,+Higashiazabu,+2-chōme−17−11","2-chōme-17-11+Higashiazabu,+Minato+City,+Tokyo+106-0044"
港区,35.65373477,139.7358363,東京都港区麻布十番3丁目3-4,"〒106-0045,+Tokyo,+Minato+City,+Azabujuban,+3-chōme−3−4","3-chōme-3-4+Azabujuban,+Minato+City,+Tokyo+106-0045"
港区,35.67065245,139.7411435,東京都港区赤坂2丁目12-17,"〒107-0052,+Tokyo,+Minato+City,+Akasaka,+2-chōme−12−17","2-chōme-12-17+Akasaka,+Minato+City,+Tokyo+107-0052"
港区,35.63651174,139.7372202,東京都港区高輪2丁目12-55,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+2-chōme−12−55","2-chōme-12-55+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.63286757,139.73218189,東京都港区高輪3丁目7-16,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+3-chōme−7−16","3-chōme-7-16+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.65797886,139.74054129,東京都港区東麻布2丁目8-4,"〒106-0044,+Tokyo,+Minato+City,+Higashiazabu,+2-chōme−8−4","2-chōme-8-4+Higashiazabu,+Minato+City,+Tokyo+106-0044"
港区,35.66209775,139.73705253,東京都港区六本木3丁目17-2,"〒106-0032,+Tokyo,+Minato+City,+Rohpongi,+3-chōme−17−2","3-chōme-17-2+Rohpongi,+Minato+City,+Tokyo+106-0032"
港区,35.64749429,139.75416833,東京都港区芝浦1丁目11-4,"〒105-0023,+Tokyo,+Minato+City,+Shibaura,+1-chōme−11−4","1-chōme-11-4+Shibaura,+Minato+City,+Tokyo+105-0023"
港区,35.63530055,139.72916537,東京都港区白金台2丁目3-3,"〒108-0071,+Tokyo,+Minato+City,+Shirokanedai,+2-chōme−3−3","2-chōme-3-3+Shirokanedai,+Minato+City,+Tokyo+108-0071"
港区,35.67087122,139.71711497,東京都港区北青山2丁目7-22,"〒107-0061,+Tokyo,+Minato+City,+Kitaaoyama,+2-chōme−7−22","2-chōme-7-22+Kitaaoyama,+Minato+City,+Tokyo+107-0061"
港区,35.63703383,139.73447597,東京都港区高輪2丁目9-15,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+2-chōme−9−15","2-chōme-9-15+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.66783539,139.71430422,東京都港区北青山3丁目3-17,"〒107-0061,+Tokyo,+Minato+City,+Kitaaoyama,+3-chōme−3−17","3-chōme-3-17+Kitaaoyama,+Minato+City,+Tokyo+107-0061"
港区,35.6377476,139.73278164,東京都港区高輪1丁目25-6,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+1-chōme−25−6","1-chōme-25-6+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.67188004,139.73924084,東京都港区赤坂2丁目12-1,"〒107-0052,+Tokyo,+Minato+City,+Akasaka,+2-chōme−12−1","2-chōme-12-1+Akasaka,+Minato+City,+Tokyo+107-0052"
港区,35.66714105,139.71555137,東京都港区南青山3丁目8-5,"〒107-0062,+Tokyo,+Minato+City,+Minamiaoyama,+3-chōme−8−5","3-chōme-8-5+Minamiaoyama,+Minato+City,+Tokyo+107-0062"
港区,35.67607669,139.73562431,東京都港区赤坂4丁目2-2,"〒107-0052,+Tokyo,+Minato+City,+Akasaka,+4-chōme−2−2","4-chōme-2-2+Akasaka,+Minato+City,+Tokyo+107-0052"
港区,35.6343869,139.73432887,東京都港区高輪3丁目17-3,"〒108-0074,+Tokyo,+Minato+City,+Takanawa,+3-chōme−17−3","3-chōme-17-3+Takanawa,+Minato+City,+Tokyo+108-0074"
港区,35.65736268,139.75613443,東京都港区浜松町1丁目25-7,"〒105-0013,+Tokyo,+Minato+City,+Hamamatsucho,+1-chōme−25−7","1-chōme-25-7+Hamamatsucho,+Minato+City,+Tokyo+105-0013"
港区,35.64339953,139.7249043,東京都港区白金6丁目9-10,"〒108-0072,+Tokyo,+Minato+City,+Shirokane,+6-chōme−9−10","6-chōme-9-10+Shirokane,+Minato+City,+Tokyo+108-0072"
港区,35.66891373,139.73985479,東京都港区赤坂2丁目18-8,"〒107-0052,+Tokyo,+Minato+City,+Akasaka,+2-chōme−18−8","2-chōme-18-8+Akasaka,+Minato+City,+Tokyo+107-0052"
港区,35.63562613,139.75246339,東京都港区海岸3丁目6-32,"〒105-0022,+Tokyo,+Minato+City,+Kaigan,+3-chōme−6−32","3-chōme-6-32+Kaigan,+Minato+City,+Tokyo+105-0022"
港区,35.66590283,139.73554695,東京都港区六本木4丁目2-10,"〒106-0032,+Tokyo,+Minato+City,+Rohpongi,+4-chōme−2−10","4-chōme-2-10+Rohpongi,+Minato+City,+Tokyo+106-0032"
港区,35.65445459,139.75308204,東京都港区芝大門2丁目10-18,"〒105-0012,+Tokyo,+Minato+City,+Shibadaimon,+2-chōme−10−18","2-chōme-10-18+Shibadaimon,+Minato+City,+Tokyo+105-0012"
港区,35.64478278,139.72781789,東京都港区白金5丁目7-6,"〒108-0072,+Tokyo,+Minato+City,+Shirokane,+5-chōme−7−6","5-chōme-7-6+Shirokane,+Minato+City,+Tokyo+108-0072"
港区,35.6693604,139.72102304,東京都港区南青山2丁目15-16,"〒107-0062,+Tokyo,+Minato+City,+Minamiaoyama,+2-chōme−15−16","2-chōme-15-16+Minamiaoyama,+Minato+City,+Tokyo+107-0062"
港区,35.67022438,139.72871679,東京都港区赤坂8丁目12-1,"〒107-0052,+Tokyo,+Minato+City,+Akasaka,+8-chōme−12−1","8-chōme-12-1+Akasaka,+Minato+City,+Tokyo+107-0052"
港区,35.65640088,139.72592036,東京都港区西麻布3丁目6-16,"〒106-0031,+Tokyo,+Minato+City,+Nishiazabu,+3-chōme−6−16","3-chōme-6-16+Nishiazabu,+Minato+City,+Tokyo+106-0031"
港区,35.65543171,139.73252262,東京都港区元麻布1丁目1-12,"〒106-0046,+Tokyo,+Minato+City,+Motoazabu,+1-chōme−1−12","1-chōme-1-12+Motoazabu,+Minato+City,+Tokyo+106-0046"
港区,35.66188923,139.72889489,東京都港区六本木7丁目18-13,"〒106-0032,+Tokyo,+Minato+City,+Rohpongi,+7-chōme−18−13","7-chōme-18-13+Rohpongi,+Minato+City,+Tokyo+106-0032"
港区,35.66095303,139.72198719,東京都港区西麻布2丁目24-9,"〒106-0031,+Tokyo,+Minato+City,+Nishiazabu,+2-chōme−24−9","2-chōme-24-9+Nishiazabu,+Minato+City,+Tokyo+106-0031"
