District,Latitude,Longitude,Address,ConvertedAddress
目黒区,35.6060831,139.68078455,東京都目黒区大岡山2丁目11,"〒152-0033,+Tokyo,+Meguro+City,+Ookayama,+2-chōme−11"
目黒区,35.60823563,139.68029006,東京都目黒区大岡山2丁目9,"〒152-0033,+Tokyo,+Meguro+City,+Ookayama,+2-chōme−9"
目黒区,35.65813007,139.68257398,東京都目黒区駒場2丁目3,"〒153-0041,+Tokyo,+Meguro+City,+Komaba,+2-chōme−3"
目黒区,35.62097047,139.68626126,東京都目黒区碑文谷2丁目18,"〒152-0003,+Tokyo,+Meguro+City,+Himonya,+2-chōme−18"
目黒区,35.66396532,139.67495495,東京都目黒区駒場4丁目9,"〒153-0041,+Tokyo,+Meguro+City,+Komaba,+4-chōme−9"
目黒区,35.64794521,139.68622408,東京都目黒区東山3丁目21,"〒153-0043,+Tokyo,+Meguro+City,+Higashiyama,+3-chōme−21"
目黒区,35.64700922,139.68691572,東京都目黒区東山2丁目19,"〒153-0043,+Tokyo,+Meguro+City,+Higashiyama,+2-chōme−19"
目黒区,35.62406397,139.664363,東京都目黒区八雲5丁目20,"〒152-0023,+Tokyo,+Meguro+City,+Yakumo,+5-chōme−20"
目黒区,35.63142982,139.66440437,東京都目黒区東が丘2丁目1-6,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−6"
目黒区,35.63170755,139.66443769,東京都目黒区東が丘2丁目1-2,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−2"
目黒区,35.63187141,139.66392661,東京都目黒区東が丘2丁目1-15,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−15"
目黒区,35.63140759,139.66423494,東京都目黒区東が丘2丁目1-7,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−7"
目黒区,35.63193253,139.66418492,東京都目黒区東が丘2丁目1-19,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−19"
目黒区,35.63145204,139.66452658,東京都目黒区東が丘2丁目1-4,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−4"
目黒区,35.6315548,139.66432937,東京都目黒区東が丘2丁目1-3,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−3"
目黒区,35.63037993,139.66437941,東京都目黒区東が丘2丁目7-1,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−1"
目黒区,35.63009941,139.66454885,東京都目黒区東が丘2丁目7-3,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−3"
目黒区,35.62931339,139.66465443,東京都目黒区東が丘2丁目7-8,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−8"
目黒区,35.62986889,139.66468219,東京都目黒区東が丘2丁目7-5,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−5"
目黒区,35.631627,139.66406828,東京都目黒区東が丘2丁目1-11,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−11"
目黒区,35.63187143,139.66440713,東京都目黒区東が丘2丁目1-1,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−1"
目黒区,35.62973834,139.66457664,東京都目黒区東が丘2丁目7-7,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−7"
目黒区,35.63025217,139.66445163,東京都目黒区東が丘2丁目7-2,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−2"
目黒区,35.62930785,139.66489607,東京都目黒区東が丘2丁目7-10,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−10"
目黒区,35.63137425,139.66409606,東京都目黒区東が丘2丁目1-9,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−9"
目黒区,35.62996887,139.66457663,東京都目黒区東が丘2丁目7-4,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−4"
目黒区,35.63152702,139.66420438,東京都目黒区東が丘2丁目1-10,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−1−10"
目黒区,35.62973835,139.66477663,東京都目黒区東が丘2丁目7-6,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−6"
目黒区,35.62922173,139.66477943,東京都目黒区東が丘2丁目7-11,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−11"
目黒区,35.62916619,139.66469055,東京都目黒区東が丘2丁目7-12,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−12"
目黒区,35.62904953,139.66454056,東京都目黒区東が丘2丁目7-14,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−14"
目黒区,35.62934116,139.66431835,東京都目黒区東が丘2丁目7-17,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−17"
目黒区,35.62996609,139.6642711,東京都目黒区東が丘2丁目7-25,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−25"
目黒区,35.63006051,139.66400168,東京都目黒区東が丘2丁目7-24,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−24"
目黒区,35.62949947,139.66448499,東京都目黒区東が丘2丁目7-16,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−16"
目黒区,35.62918007,139.66444612,東京都目黒区東が丘2丁目7-15,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−15"
目黒区,35.62989387,139.66397947,東京都目黒区東が丘2丁目7-21,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−21"
目黒区,35.6295828,139.66445999,東京都目黒区東が丘2丁目7-19,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−19"
目黒区,35.63015776,139.66519879,東京都目黒区東が丘2丁目3-6,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−3−6"
目黒区,35.62999107,139.66391558,東京都目黒区東が丘2丁目7-22,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−7−22"
目黒区,35.63004388,139.66528213,東京都目黒区東が丘2丁目3-8,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−3−8"
目黒区,35.63059658,139.66491269,東京都目黒区東が丘2丁目3-3,"〒152-0021,+Tokyo,+Meguro+City,+Higashigaoka,+2-chōme−3−3"
