District,Latitude,Longitude,Address,ConvertedAddress
荒川区,35.73277733,139.79060347,東京都荒川区南千住1丁目11,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+1-chōme−11"
荒川区,35.72879494,139.80897707,東京都荒川区南千住3丁目38,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+3-chōme−38"
荒川区,35.73140577,139.80977135,東京都荒川区南千住3丁目39,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+3-chōme−39"
荒川区,35.73679864,139.77339643,東京都荒川区西日暮里6丁目3,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+6-chōme−3"
荒川区,35.73518763,139.77081338,東京都荒川区西日暮里6丁目21,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+6-chōme−21"
荒川区,35.73575426,139.7717105,東京都荒川区西日暮里6丁目19,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+6-chōme−19"
荒川区,35.73468767,139.76990237,東京都荒川区西日暮里6丁目37,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+6-chōme−37"
荒川区,35.73547358,139.76558604,東京都荒川区西日暮里6丁目69,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+6-chōme−69"
荒川区,35.72959938,139.77076917,東京都荒川区西日暮里2丁目23,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+2-chōme−23"
荒川区,35.72931054,139.77116081,東京都荒川区西日暮里2丁目24,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+2-chōme−24"
荒川区,35.72934103,139.76935818,東京都荒川区西日暮里2丁目58,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+2-chōme−58"
荒川区,35.73102206,139.7938727,東京都荒川区南千住2丁目9,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+2-chōme−9"
荒川区,35.75098638,139.79006667,東京都荒川区町屋7丁目17,"〒116-0001+Tokyo,+Arakawa+City,+Machiya,+7-chōme−17"
荒川区,35.73687159,139.800783,東京都荒川区南千住4丁目6,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+4-chōme−6"
荒川区,35.73996032,139.8080267,東京都荒川区南千住8丁目7,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+8-chōme−7"
荒川区,35.73661363,139.81355413,東京都荒川区南千住8丁目15,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+8-chōme−15"
荒川区,35.73616642,139.8125237,東京都荒川区南千住8丁目16,"〒116-0003+Tokyo,+Arakawa+City,+Minamisenjyu,+8-chōme−16"
荒川区,35.73139631,139.76748049,東京都荒川区西日暮里5丁目22,"〒116-0013+Tokyo,+Arakawa+City,+Nishinihpori,+5-chōme−22"
荒川区,35.73822354,139.77567952,東京都荒川区荒川5丁目15,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+5-chōme−15"
荒川区,35.73966511,139.77799315,東京都荒川区荒川5丁目13,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+5-chōme−13"
荒川区,35.73945427,139.7875729,東京都荒川区荒川8丁目15,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+8-chōme−15"
荒川区,35.7434871,139.78544515,東京都荒川区荒川8丁目32,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+8-chōme−32"
荒川区,35.74355102,139.78686168,東京都荒川区荒川8丁目33,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+8-chōme−33"
荒川区,35.75304134,139.77663161,東京都荒川区東尾久7丁目4,"〒116-0012+Tokyo,+Arakawa+City,+Higashiogu,+7-chōme−4"
荒川区,35.7528718,139.77237643,東京都荒川区東尾久7丁目3,"〒116-0012+Tokyo,+Arakawa+City,+Higashiogu,+7-chōme−3"
荒川区,35.74811661,139.76602438,東京都荒川区東尾久5丁目44,"〒116-0012+Tokyo,+Arakawa+City,+Higashiogu,+5-chōme−44"
荒川区,35.74316207,139.78291759,東京都荒川区荒川7丁目13,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+7-chōme−13"
荒川区,35.74245101,139.78189549,東京都荒川区荒川7丁目21,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+7-chōme−21"
荒川区,35.74165661,139.78019567,東京都荒川区荒川7丁目45,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+7-chōme−45"
荒川区,35.74223156,139.78105112,東京都荒川区荒川7丁目48,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+7-chōme−48"
荒川区,35.74192604,139.7807595,東京都荒川区荒川7丁目47,"〒116-0002+Tokyo,+Arakawa+City,+Arakawa,+7-chōme−47"
荒川区,35.75259942,139.76527148,東京都荒川区西尾久3丁目4,"〒116-0011+Tokyo,+Arakawa+City,+Nishiogu,+3-chōme−4"
