District,Latitude,Longitude,Address
葛飾区,35.79255338,139.87363011,東京都葛飾区水元公園6
葛飾区,35.76151258,139.87891425,東京都葛飾区金町浄水場1-1
葛飾区,35.74482785,139.86033317,東京都葛飾区高砂1丁目19
葛飾区,35.74612219,139.86201076,東京都葛飾区高砂1丁目27
葛飾区,35.76784716,139.84851658,東京都葛飾区亀有5丁目36
葛飾区,35.76483432,139.87503389,東京都葛飾区金町浄水場3-11
葛飾区,35.76465378,139.87478392,東京都葛飾区金町浄水場3-17
葛飾区,35.76406492,139.87340350,東京都葛飾区金町浄水場2-19
葛飾区,35.76410935,139.87295632,東京都葛飾区金町浄水場2-2
葛飾区,35.76405659,139.87317574,東京都葛飾区金町浄水場2-20
葛飾区,35.76613901,139.84794448,東京都葛飾区亀有3丁目24
葛飾区,35.74724412,139.85584179,東京都葛飾区青戸5丁目32
葛飾区,35.76792278,139.87193125,東京都葛飾区金町6丁目6
葛飾区,35.74969441,139.87688990,東京都葛飾区鎌倉3丁目21
葛飾区,35.73292351,139.85593680,東京都葛飾区奥戸1丁目30
葛飾区,35.74212864,139.87838175,東京都葛飾区鎌倉1丁目12
葛飾区,35.73018535,139.87174945,東京都葛飾区奥戸6丁目30
葛飾区,35.72901045,139.87041906,東京都葛飾区奥戸6丁目28
葛飾区,35.73698437,139.86377209,東京都葛飾区奥戸7丁目13
葛飾区,35.71867521,139.85930931,東京都葛飾区東新小岩1丁目8
葛飾区,35.72559131,139.86750000,東京都葛飾区東新小岩2丁目17
葛飾区,35.72526613,139.85961736,東京都葛飾区東新小岩6丁目23
葛飾区,35.75708704,139.84035104,東京都葛飾区西亀有1丁目23
葛飾区,35.74125572,139.84922038,東京都葛飾区立石7丁目8
葛飾区,35.73050969,139.84826811,東京都葛飾区東立石1丁目11
葛飾区,35.73803674,139.85287297,東京都葛飾区立石8丁目8
葛飾区,35.78068268,139.88022170,東京都葛飾区東金町5丁目54
葛飾区,35.75409235,139.81835025,東京都葛飾区小菅1丁目6
葛飾区,35.75406453,139.81683649,東京都葛飾区小菅1丁目13
葛飾区,35.73222602,139.84285738,東京都葛飾区東四つ木2丁目25
葛飾区,35.77933299,139.88633513,東京都葛飾区東金町7丁目39
葛飾区,35.78146039,139.88141323,東京都葛飾区東金町8丁目1
葛飾区,35.78095493,139.88268259,東京都葛飾区東金町8丁目5
葛飾区,35.78107718,139.88409358,東京都葛飾区東金町8丁目7
葛飾区,35.77991624,139.88584069,東京都葛飾区東金町8丁目11
葛飾区,35.78175761,139.88227426,東京都葛飾区東金町8丁目6
葛飾区,35.78266317,139.88645720,東京都葛飾区東金町8丁目29
葛飾区,35.78214100,139.88622113,東京都葛飾区東金町8丁目28
葛飾区,35.78199925,139.88255478,東京都葛飾区東金町8丁目34
葛飾区,35.78281876,139.88809595,東京都葛飾区東金町8丁目26
葛飾区,35.78199650,139.88344081,東京都葛飾区東金町8丁目33
葛飾区,35.78367700,139.88858198,東京都葛飾区東金町8丁目25
葛飾区,35.78186601,139.88537677,東京都葛飾区東金町8丁目32
葛飾区,35.78204922,139.88170485,東京都葛飾区東金町8丁目35
葛飾区,35.78371862,139.88677935,東京都葛飾区東金町8丁目30
葛飾区,35.75955133,139.86547103,東京都葛飾区新宿3丁目26
葛飾区,35.73234297,139.85413143,東京都葛飾区東立石4丁目5
葛飾区,35.73212075,139.85335928,東京都葛飾区東立石4丁目6
葛飾区,35.73141808,139.85427590,東京都葛飾区東立石4丁目4
葛飾区,35.73993129,139.86459967,東京都葛飾区細田2丁目4
葛飾区,35.73482547,139.83330809,東京都葛飾区四つ木1丁目24
葛飾区,35.78076039,139.87837462,東京都葛飾区水元公園1-1
葛飾区,35.79298372,139.86708898,東京都葛飾区水元公園4-2
葛飾区,35.78096020,139.87238347,東京都葛飾区水元公園2-8
葛飾区,35.79077014,139.86965274,東京都葛飾区水元公園4-9
葛飾区,35.78041307,139.87332229,東京都葛飾区水元公園2-9
葛飾区,35.79383898,139.85989234,東京都葛飾区水元公園8-2
葛飾区,35.79454172,139.86141996,東京都葛飾区水元公園8-3
葛飾区,35.79576684,139.87121629,東京都葛飾区水元公園7-2
葛飾区,35.78645673,139.86928073,東京都葛飾区水元公園3-2
葛飾区,35.78445421,139.87035016,東京都葛飾区水元公園3-4
葛飾区,35.79477516,139.86665561,東京都葛飾区水元公園7-8
葛飾区,35.78456807,139.87003074,東京都葛飾区水元公園3-10
葛飾区,35.78416534,139.87002798,東京都葛飾区水元公園3-8
葛飾区,35.79189227,139.87070261,東京都葛飾区水元公園5-10
葛飾区,35.74715291,139.87225984,東京都葛飾区高砂4丁目2-24
葛飾区,35.74618076,139.87126552,東京都葛飾区高砂4丁目1-43
葛飾区,35.74796391,139.87151820,東京都葛飾区高砂4丁目2-16
葛飾区,35.74703071,139.87283202,東京都葛飾区高砂4丁目2-28
葛飾区,35.74589191,139.87128498,東京都葛飾区高砂4丁目1-47
葛飾区,35.74640296,139.87117385,東京都葛飾区高砂4丁目1-46
葛飾区,35.74623634,139.87222099,東京都葛飾区高砂4丁目1-35
葛飾区,35.74740288,139.87224039,東京都葛飾区高砂4丁目2-19
葛飾区,35.74605026,139.87261541,東京都葛飾区高砂4丁目1-36
葛飾区,35.74704456,139.87134881,東京都葛飾区高砂4丁目2-26
葛飾区,35.74543918,139.87096279,東京都葛飾区高砂4丁目1-48
葛飾区,35.75002202,139.87205141,東京都葛飾区高砂4丁目6-1
葛飾区,35.74559752,139.87217379,東京都葛飾区高砂4丁目1-45
葛飾区,35.74699735,139.87179877,東京都葛飾区高砂4丁目2-15
葛飾区,35.74615857,139.87241264,東京都葛飾区高砂4丁目1-41
葛飾区,35.74541698,139.87179328,東京都葛飾区高砂4丁目1-52
葛飾区,35.74823887,139.87136265,東京都葛飾区高砂4丁目2-8
葛飾区,35.74518366,139.87136277,東京都葛飾区高砂4丁目1-53
葛飾区,35.75006367,139.87152090,東京都葛飾区高砂4丁目6-5
葛飾区,35.74733619,139.87118770,東京都葛飾区高砂4丁目2-18
葛飾区,35.75003312,139.87175977,東京都葛飾区高砂4丁目6-3
葛飾区,35.74769449,139.87175152,東京都葛飾区高砂4丁目2-17
葛飾区,35.75004977,139.87126258,東京都葛飾区高砂4丁目6-7
葛飾区,35.75003034,139.87170143,東京都葛飾区高砂4丁目6-4
葛飾区,35.75006922,139.87135146,東京都葛飾区高砂4丁目6-6
葛飾区,35.75004423,139.87195697,東京都葛飾区高砂4丁目6-2
葛飾区,35.74534753,139.87139054,東京都葛飾区高砂4丁目1-49
葛飾区,35.75023030,139.87118203,東京都葛飾区高砂4丁目6-9
葛飾区,35.75050250,139.87130145,東京都葛飾区高砂4丁目6-12
葛飾区,35.75029142,139.87121258,東京都葛飾区高砂4丁目6-10
葛飾区,35.75464069,139.86259092,東京都葛飾区高砂7丁目6-16
葛飾区,35.75033308,139.87154033,東京都葛飾区高砂4丁目6-11
葛飾区,35.75013031,139.87121536,東京都葛飾区高砂4丁目6-8
葛飾区,35.75187714,139.86350484,東京都葛飾区高砂7丁目2-3
葛飾区,35.75194103,139.86357427,東京都葛飾区高砂7丁目2-1
葛飾区,35.75517675,139.86284643,東京都葛飾区高砂7丁目6-13
葛飾区,35.75332419,139.86336035,東京都葛飾区高砂7丁目4-11
葛飾区,35.75216877,139.86343816,東京都葛飾区高砂7丁目2-4
葛飾区,35.75227153,139.86339650,東京都葛飾区高砂7丁目2-6
葛飾区,35.75403522,139.86308534,東京都葛飾区高砂7丁目4-6
葛飾区,35.75420186,139.86291591,東京都葛飾区高砂7丁目4-5
葛飾区,35.75368250,139.86350754,東京都葛飾区高砂7丁目4-10
葛飾区,35.75426018,139.86282703,東京都葛飾区高砂7丁目4-3
葛飾区,35.75382414,139.86337144,東京都葛飾区高砂7丁目4-8
葛飾区,35.75340475,139.86371032,東京都葛飾区高砂7丁目4-14
葛飾区,35.75314089,139.86347701,東京都葛飾区高砂7丁目4-16
葛飾区,35.75344641,139.86388252,東京都葛飾区高砂7丁目4-12
葛飾区,35.75382413,139.86314369,東京都葛飾区高砂7丁目4-7
葛飾区,35.75362416,139.86334923,東京都葛飾区高砂7丁目4-9
葛飾区,35.75324643,139.86364921,東京都葛飾区高砂7丁目4-15
葛飾区,35.75277147,139.86299651,東京都葛飾区高砂7丁目1-12
葛飾区,35.75235762,139.86303264,東京都葛飾区高砂7丁目1-15
葛飾区,35.75335473,139.86269651,東京都葛飾区高砂7丁目1-8
葛飾区,35.75264370,139.86293541,東京都葛飾区高砂7丁目1-10
葛飾区,35.75290757,139.86330759,東京都葛飾区高砂7丁目4-18
葛飾区,35.75306032,139.86271875,東京都葛飾区高砂7丁目1-9
葛飾区,35.75269093,139.86302151,東京都葛飾区高砂7丁目1-13
葛飾区,35.75392690,139.86299647,東京都葛飾区高砂7丁目4-27
葛飾区,35.75295200,139.86289651,東京都葛飾区高砂7丁目1-11
葛飾区,35.75371303,139.86306036,東京都葛飾区高砂7丁目4-26
葛飾区,35.75255482,139.86299652,東京都葛飾区高砂7丁目1-14
葛飾区,35.75305201,139.86338536,東京都葛飾区高砂7丁目4-17
葛飾区,35.75197434,139.86315209,東京都葛飾区高砂7丁目1-19
葛飾区,35.75162716,139.86303267,東京都葛飾区高砂7丁目1-20
葛飾区,35.75217709,139.86284100,東京都葛飾区高砂7丁目1-17
葛飾区,35.75202988,139.86299377,東京都葛飾区高砂7丁目1-18
葛飾区,35.75646272,139.86285749,東京都葛飾区高砂7丁目8-9
葛飾区,35.75652938,139.86271306,東京都葛飾区高砂7丁目8-7
葛飾区,35.75226874,139.86299098,東京都葛飾区高砂7丁目1-16
葛飾区,35.75631274,139.86293249,東京都葛飾区高砂7丁目8-10
